City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather description
596,Kailua,US,21.4022,-157.7394,71.58,93,38,2.93,scattered clouds
597,Orlik,RU,52.5178,99.825,-7.11,98,100,3.76,overcast clouds
598,Oranjestad,AW,12.524,-70.027,78.91,89,4,1.99,clear sky
599,Vanavara,RU,60.34,102.2797,-43.8,99,91,4.79,overcast clouds
600,Oskarshamn,SE,57.2645,16.4484,32.99,78,16,8.7,few clouds
601,Saint-Louis,SN,16.3333,-15.0,89.33,12,70,13.09,broken clouds
602,Bonthe,SL,7.5264,-12.505,89.06,49,49,14.0,scattered clouds
603,Tevriz,RU,57.509,72.4042,8.69,97,100,4.34,overcast clouds
604,Djambala,CG,-2.5447,14.7533,73.18,77,100,5.35,light rain
605,Kovvur,IN,17.0167,81.7333,77.25,73,20,3.44,mist
606,Talcher,IN,20.95,85.2167,69.1,65,2,7.14,clear sky
607,Hun,LY,29.1268,15.9477,75.07,9,5,16.02,clear sky
608,Casablanca,MA,33.5928,-7.6192,61.02,55,3,5.99,clear sky
609,Manyana,BW,-23.4,21.7167,81.81,43,86,7.05,overcast clouds
610,Buckeye,US,33.3703,-112.5838,43.83,84,60,2.86,broken clouds
611,Naron,ES,43.5167,-8.1528,56.05,95,100,24.18,overcast clouds
612,Chimbote,PE,-9.0853,-78.5783,73.31,67,85,6.44,overcast clouds
613,Ban Chang,TH,12.7254,101.0553,83.48,72,40,4.61,scattered clouds
614,Kajaani,FI,64.2273,27.7285,30.25,100,100,10.36,light snow
615,Magnor,SE,59.9511,12.1996,31.73,98,99,3.83,light snow
616,Shetpe,KZ,44.1667,52.1167,29.05,62,0,6.24,clear sky
617,Yuncheng,CN,35.0231,110.9928,28.24,50,1,3.91,clear sky
618,Pokaran,IN,26.9167,71.9167,53.85,48,85,21.74,overcast clouds
619,Ouadda,CF,8.0777,22.4007,94.62,12,68,6.78,broken clouds
620,Kristiinankaupunki,FI,62.2743,21.376,28.09,96,100,6.02,overcast clouds
621,Margate,GB,51.3813,1.3862,40.89,76,51,4.0,broken clouds
622,Bibiani,GH,6.4635,-2.3194,99.75,23,31,1.81,scattered clouds
623,Pauini,BR,-7.7136,-66.9764,75.99,89,100,3.47,overcast clouds
624,Kultuk,RU,51.7208,103.6956,-3.01,86,95,3.65,overcast clouds
625,Okha,RU,53.5739,142.9478,-30.39,94,79,10.85,broken clouds
626,Rapid City,US,44.0805,-103.231,28.11,87,0,11.01,clear sky
627,Pangkalanbuun,ID,-2.6833,111.6167,74.28,97,100,2.46,moderate rain
628,Ossora,RU,59.2353,163.0719,-12.8,80,91,6.8,overcast clouds
629,Evanston,US,42.0411,-87.6901,40.08,94,100,8.05,overcast clouds
630,Port Macquarie,AU,-31.4333,152.9167,64.89,86,100,10.98,overcast clouds
631,Kalisz,PL,51.7611,18.091,34.99,81,100,4.21,overcast clouds
632,Port Arthur,CN,38.8,121.2667,28.62,39,6,25.46,clear sky
633,Dovolnoye,RU,54.4958,79.6671,9.43,96,95,8.39,overcast clouds
634,Nizhneudinsk,RU,54.9076,99.0276,5.86,96,100,1.16,overcast clouds
635,Koutiala,ML,12.3917,-5.4642,92.52,7,31,7.43,scattered clouds
636,Naze,JP,28.3667,129.4833,54.97,63,4,8.99,clear sky
637,Pevek,RU,69.7008,170.3133,-21.59,96,100,17.52,overcast clouds
638,Makinsk,KZ,52.6292,70.4169,7.0,73,40,7.7,scattered clouds
639,Acarau,BR,-2.8856,-40.12,85.64,60,94,10.07,overcast clouds
640,Port Keats,AU,-14.25,129.55,81.43,82,100,7.74,overcast clouds
641,Pacific Grove,US,36.6177,-121.9166,45.09,89,0,1.99,clear sky
642,Hofn,IS,64.2539,-15.2082,24.82,63,75,8.05,broken clouds
643,Yermakovskoye,RU,53.2831,92.4003,15.48,91,100,18.9,light snow
644,Galeana,MX,24.8333,-100.0667,50.02,57,56,3.78,broken clouds
